Ticker,ATH,52WeekHigh,Breakout,Today's High,T_open,CMP,SL,SL Points,SL-HIT,Volume,Entry,Exit,Profit
SUVENPHAR.NS,889.7000122070312,915.0,889.7000122070312,915.0,872.2999877929688,914.5499877929688,879.803012084961,9.897000122070267,No,1219759,889.7000122070312,914.5499877929688,24.8499755859375
TIPSINDLTD.NS,619.7999877929688,624.9,619.7999877929688,624.9000244140625,607.0,606.0,612.6019879150391,7.197999877929647,Yes,1196697,619.7999877929688,612.6019879150391,-7.197999877929647
INDIAGLYCO.NS,1131.0296133755778,1205.95,1131.0296133755778,1205.949951171875,1090.0,1169.050048828125,1118.719317241822,12.310296133755855,No,1116347,1131.0296133755778,1169.050048828125,38.02043545254719
ICICIGI.NS,1925.0,1964.95,1925.0,1964.949951171875,1902.0,1964.449951171875,1904.75,20.25,No,1104447,1925.0,1964.449951171875,39.449951171875
WORTH.NS,136.9499969482422,145.0,136.9499969482422,145.0,121.98999786376953,143.0,134.58049697875975,2.3694999694824332,No,1095034,136.9499969482422,143.0,6.0500030517578125
DHARMAJ.NS,328.4599914550781,347.4,328.4599914550781,347.3999938964844,307.6499938964844,334.0,324.17539154052736,4.284599914550768,No,1064396,328.4599914550781,334.0,5.540008544921875
ZYDUSLIFE.NS,1199.9400394305953,1210.0,1199.9400394305953,1210.0,1175.949951171875,1205.5999755859375,1186.9406390362894,12.999400394305894,No,917510,1199.9400394305953,1205.5999755859375,5.659936155342166
NATCOPHARM.NS,1325.0,1339.8,1325.0,1339.800048828125,1309.0,1322.1500244140625,1310.75,14.25,No,897525,1325.0,1322.1500244140625,-2.8499755859375
EPIGRAL.NS,1724.0,1776.85,1724.0,1776.8499755859375,1660.0,1726.449951171875,1705.76,18.24000000000001,No,760861,1724.0,1726.449951171875,2.449951171875
POCL.NS,1230.6500244140625,1299.95,1230.6500244140625,1299.949951171875,1240.0,1216.5999755859375,1229.6500244140625,10.3499755859375,Yes,706313,1240.0,1229.6500244140625,-10.3499755859375
APLLTD.NS,1192.949951171875,1218.0,1192.949951171875,1218.0,1170.0,1200.0,1180.0204516601561,12.92949951171886,No,605745,1192.949951171875,1200.0,7.050048828125
AMNPLST.NS,346.0,357.7,346.0,357.70001220703125,342.0,325.04998779296875,341.54,4.4599999999999795,Yes,598313,346.0,341.54,-4.4599999999999795
