Ticker,ATH,Today's High,T_open,CMP,SL,SL-HIT,Volume,Entry,Exit,Profit
DABUR.NS,643.7889048763732,648.7000122070312,634.0,641.8499755859375,637.3510158276094,No,2957817,643.7889048763732,641.8499755859375,-1.9389292904356807
MARKSANS.NS,197.0,197.0500030517578,188.1999969482422,187.58999633789062,195.03,Yes,2626935,197.0,195.03,-1.9699999999999989
GPIL.NS,1195.699951171875,1223.949951171875,1122.0,1152.800048828125,1183.7429516601562,Yes,2459668,1195.699951171875,1183.7429516601562,-11.956999511718777
ESSARSHPNG.NS,61.95000076293945,71.54000091552734,68.13999938964844,71.54000091552734,61.95000076293945,No,2364589,68.13999938964844,71.54000091552734,3.4000015258789062
SARDAEN.NS,290.0,293.0,270.6300048828125,285.5899963378906,287.1,Yes,1896279,290.0,287.1,-2.8999999999999773
DBCORP.NS,400.0,403.8999938964844,386.0,364.20001220703125,396.0,Yes,1892444,400.0,396.0,-4.0
SBILIFE.NS,1570.0,1639.5999755859375,1613.4000244140625,1621.3499755859375,1570.0,No,1844052,1613.4000244140625,1621.3499755859375,7.949951171875
NITINSPIN.NS,394.6000061035156,417.6000061035156,382.20001220703125,399.5,390.6540060424805,No,1801658,394.6000061035156,399.5,4.899993896484375
UMANGDAIRY.NS,122.0,139.9499969482422,116.01000213623047,139.9499969482422,120.78,No,1653338,122.0,139.9499969482422,17.949996948242188
HGINFRA.NS,1869.9000244140625,1879.9000244140625,1718.0,1780.449951171875,1851.2010241699218,Yes,1310051,1869.9000244140625,1851.2010241699218,-18.699000244140734
AUROPHARMA.NS,1344.199951171875,1388.050048828125,1380.0,1375.1500244140625,1344.199951171875,No,1174044,1380.0,1375.1500244140625,-4.8499755859375
ZENSARTECH.NS,788.0,803.75,788.5499877929688,779.2000122070312,788.0,Yes,1169523,788.5499877929688,788.0,-0.54998779296875
GODREJCP.NS,1467.0999755859375,1472.0,1439.949951171875,1450.9000244140625,1452.4289758300781,Yes,1150814,1467.0999755859375,1452.4289758300781,-14.670999755859384
NAVA.NS,794.8499755859375,850.0,794.4000244140625,848.2999877929688,794.4000244140625,No,1044296,794.8499755859375,848.2999877929688,53.45001220703125
PGIL.NS,824.3499755859375,844.75,770.8499755859375,830.2000122070312,816.1064758300781,No,1013699,824.3499755859375,830.2000122070312,5.85003662109375
ICICIGI.NS,1886.199951171875,1903.300048828125,1865.0,1873.0999755859375,1867.3379516601562,No,981577,1886.199951171875,1873.0999755859375,-13.0999755859375
WANBURY.NS,183.49000549316406,202.2899932861328,202.2899932861328,192.30999755859375,183.49000549316406,No,697491,202.2899932861328,192.30999755859375,-9.979995727539062
TIPSINDLTD.NS,561.9000244140625,595.9500122070312,575.0,592.0,561.9000244140625,No,695263,575.0,592.0,17.0
AWHCL.NS,613.5,625.0,608.7000122070312,625.0,608.7000122070312,No,682292,613.5,625.0,11.5
AMJLAND.NS,59.63999938964844,62.75,62.0,61.18000030517578,59.63999938964844,No,668827,62.0,61.18000030517578,-0.8199996948242188
GLENMARK.NS,1397.0,1427.0,1411.9000244140625,1411.4000244140625,1397.0,No,589953,1411.9000244140625,1411.4000244140625,-0.5
SPLPETRO.NS,909.9000244140625,926.5999755859375,860.7000122070312,906.9500122070312,900.8010241699219,No,544635,909.9000244140625,906.9500122070312,-2.95001220703125
GODREJAGRO.NS,841.9500122070312,870.0,865.5,856.0,841.9500122070312,No,461274,865.5,856.0,-9.5
MINDTECK.NS,365.20001220703125,411.0,405.0,386.95001220703125,365.20001220703125,No,457600,405.0,386.95001220703125,-18.04998779296875
ALMONDZ.NS,158.7899932861328,163.6199951171875,158.3800048828125,153.50999450683594,158.3800048828125,Yes,413306,158.7899932861328,158.3800048828125,-0.4099884033203125
INSECTICID.NS,782.9341003746647,809.0,717.0,788.2999877929688,775.104759370918,No,409549,782.9341003746647,788.2999877929688,5.365887418304055
MUTHOOTFIN.NS,1864.699951171875,1868.4000244140625,1832.0,1834.6500244140625,1846.0529516601562,Yes,373106,1864.699951171875,1846.0529516601562,-18.646999511718832
DODLA.NS,1160.0,1227.8499755859375,1190.0,1223.949951171875,1160.0,No,347132,1190.0,1223.949951171875,33.949951171875
TORNTPHARM.NS,2984.0,3005.0,2953.699951171875,2975.050048828125,2954.16,No,315393,2984.0,2975.050048828125,-8.949951171875
SELAN.NS,805.0,818.0,778.0,767.0,796.95,Yes,305633,805.0,796.95,-8.049999999999955
MARINE.NS,239.6999969482422,251.67999267578125,264.260009765625,264.260009765625,239.6999969482422,No,217436,264.260009765625,264.260009765625,0.0
RPGLIFE.NS,1722.6994621347192,1850.0,1666.0,1838.949951171875,1705.472467513372,No,210763,1722.6994621347192,1838.949951171875,116.25048903715583
KEYFINSERV.NS,220.0,308.29998779296875,288.989990234375,308.29998779296875,220.0,No,202710,288.989990234375,308.29998779296875,19.30999755859375
UNIVCABLES.NS,843.0,904.8499755859375,862.7999877929688,889.3499755859375,843.0,No,102513,862.7999877929688,889.3499755859375,26.54998779296875
SPAL.NS,852.7999877929688,866.2999877929688,846.5999755859375,845.0,846.5999755859375,Yes,98658,852.7999877929688,846.5999755859375,-6.20001220703125
HERCULES.NS,647.4500122070312,655.9000244140625,650.8499755859375,640.9500122070312,647.4500122070312,Yes,64612,650.8499755859375,647.4500122070312,-3.39996337890625
MACPOWER.NS,1531.949951171875,1575.5,1495.0,1575.5,1516.6304516601563,No,51496,1531.949951171875,1575.5,43.550048828125
INSPIRISYS.NS,137.89999389648438,147.91000366210938,147.1999969482422,147.91000366210938,137.89999389648438,No,31326,147.1999969482422,147.91000366210938,0.7100067138671875
INDOTECH.NS,2005.949951171875,2015.5999755859375,1913.0,2015.5999755859375,1985.8904516601563,No,27998,2005.949951171875,2015.5999755859375,9.6500244140625
EIMCOELECO.NS,2850.0,2892.39990234375,2760.0,2892.39990234375,2821.5,No,14672,2850.0,2892.39990234375,42.39990234375
MPSLTD.NS,2093.102182005682,2100.10009765625,2100.10009765625,2057.800048828125,2093.102182005682,Yes,9470,2100.10009765625,2093.102182005682,-6.9979156505678475
21STCENMGM.NS,79.51000213623047,81.0999984741211,81.0999984741211,81.0999984741211,79.51000213623047,No,22,81.0999984741211,81.0999984741211,0.0
NIRAJISPAT.NS,191.39999389648438,191.39999389648438,191.39999389648438,191.39999389648438,191.39999389648438,No,0,191.39999389648438,191.39999389648438,0.0
