Ticker,All Time High,52 Week High,Breakout Level,Today's High,Trailing Stop Loss,Today's Open,Current Market Price,Stop Loss,Stop Loss Points,Stop Loss Hit,Volume,Entry Price,Exit Price,Profit
TATAMTRDVR.NS,749.4000244140625,757.25,749.4000244140625,757.25,15.145,757.0999755859375,756.5499877929688,748.4000244140625,8.699951171875,No,1315328,757.0999755859375,756.5499877929688,-0.54998779296875
PLATIND.NS,288.2300109863281,289.35,288.2300109863281,289.3500061035156,5.787000122070313,279.45001220703125,282.989990234375,284.3477108764648,3.8823001098633085,Yes,1059138,288.2300109863281,284.3477108764648,-3.8823001098633085
SUVEN.NS,144.8000030517578,147.86,144.8000030517578,147.86000061035156,2.957200012207031,141.25,147.86000061035156,142.35200302124022,2.4480000305175906,No,789698,144.8000030517578,147.86000061035156,3.05999755859375
ZYDUSLIFE.NS,1210.0,1215.0,1210.0,1215.0,24.3,1212.0,1202.0,1209.0,3.0,Yes,768537,1212.0,1209.0,-3.0
GRANULES.NS,553.4000244140625,566.65,553.4000244140625,566.6500244140625,11.33300048828125,548.4500122070312,564.0,547.4500122070312,5.95001220703125,No,743000,553.4000244140625,564.0,10.5999755859375
REFEX.NS,255.0,260.0,255.0,260.0,5.2,248.0,250.0,251.45,3.5500000000000114,Yes,725453,255.0,251.45,-3.5500000000000114
KOTHARIPET.NS,185.6999969482422,186.99,185.6999969482422,186.99000549316406,3.7398001098632814,180.89999389648438,176.7899932861328,182.84299697875977,2.856999969482416,Yes,724162,185.6999969482422,182.84299697875977,-2.856999969482416
TVSMOTOR.NS,2519.0,2528.8,2519.0,2528.800048828125,50.576000976562504,2449.5,2500.60009765625,2492.81,26.190000000000055,No,702537,2519.0,2500.60009765625,-18.39990234375
ARTEMISMED.NS,249.0,259.65,249.0,259.6499938964844,5.1929998779296875,233.1999969482422,249.7899932861328,245.51,3.490000000000009,No,615643,249.0,249.7899932861328,0.7899932861328125
ZENTEC.NS,1486.3499755859375,1532.45,1486.3499755859375,1532.449951171875,30.6489990234375,1467.0,1532.449951171875,1470.486475830078,15.863499755859493,No,504313,1486.3499755859375,1532.449951171875,46.0999755859375
MANGLMCEM.NS,948.9000244140625,964.0,948.9000244140625,964.0,19.28,914.9500122070312,944.1500244140625,938.4110241699219,10.489000244140584,No,497931,948.9000244140625,944.1500244140625,-4.75
SUVENPHAR.NS,922.9000244140625,956.7,922.9000244140625,956.7000122070312,19.134000244140626,920.0,933.7000122070312,919.0,3.9000244140625,No,496069,922.9000244140625,933.7000122070312,10.79998779296875
INDIAGLYCO.NS,1205.949951171875,1210.0,1205.949951171875,1210.0,24.2,1191.0,1178.3499755859375,1192.8904516601563,13.059499511718741,Yes,401561,1205.949951171875,1192.8904516601563,-13.059499511718741
NATCOPHARM.NS,1339.800048828125,1349.0,1339.800048828125,1349.0,26.98,1334.699951171875,1331.050048828125,1333.699951171875,6.10009765625,Yes,389362,1339.800048828125,1333.699951171875,-6.10009765625
AEGISCHEM.NS,970.0,887.65,887.65,896.5999755859375,17.93199951171875,879.9500122070312,885.2999877929688,878.9500122070312,8.699987792968727,No,353395,887.65,885.2999877929688,-2.3500122070312273
WANBURY.NS,202.2899932861328,211.86,202.2899932861328,211.86000061035156,4.2372000122070315,207.0,211.86000061035156,201.2899932861328,5.7100067138671875,No,338337,207.0,211.86000061035156,4.8600006103515625
PGIL.NS,904.0,974.8,904.0,974.7999877929688,19.495999755859376,899.9500122070312,966.6500244140625,898.9500122070312,5.04998779296875,No,328807,904.0,966.6500244140625,62.6500244140625
MINDTECK.NS,411.0,421.1,411.0,421.1000061035156,8.422000122070312,421.1000061035156,421.1000061035156,410.0,11.100006103515625,No,326616,421.1000061035156,421.1000061035156,0.0
MADHUSUDAN.NS,194.64999389648438,0.0,194.64999389648438,200.0,4.0,174.6999969482422,195.9499969482422,191.70349395751953,2.9464999389648483,No,322000,194.64999389648438,195.9499969482422,1.3000030517578125
GLENMARK.NS,1451.0,1454.2,1451.0,1454.199951171875,29.0839990234375,1423.0,1449.8499755859375,1435.49,15.509999999999991,No,287891,1451.0,1449.8499755859375,-1.1500244140625
TIPSINDLTD.NS,624.9000244140625,626.9,624.9000244140625,626.9000244140625,12.53800048828125,610.0,617.0,617.6510241699219,7.249000244140575,Yes,285688,624.9000244140625,617.6510241699219,-7.249000244140575
NAVA.NS,868.75,886.45,868.75,886.4500122070312,17.729000244140625,851.0,879.9000244140625,859.0625,9.6875,No,268020,868.75,879.9000244140625,11.1500244140625
APLLTD.NS,1218.0,1224.9,1218.0,1224.9000244140625,24.49800048828125,1186.0999755859375,1218.0999755859375,1204.82,13.180000000000064,No,260404,1218.0,1218.0999755859375,0.0999755859375
BBOX.NS,435.3500061035156,457.1,435.3500061035156,457.1000061035156,9.142000122070312,457.1000061035156,445.75,434.3500061035156,22.75,No,256860,457.1000061035156,445.75,-11.350006103515625
GRASIM.NS,2852.949951171875,2866.5,2852.949951171875,2866.5,57.33,2824.949951171875,2854.64990234375,2823.949951171875,29.0,No,256645,2852.949951171875,2854.64990234375,1.699951171875
ARVSMART.NS,791.0,826.0,791.0,826.0,16.52,795.0,818.0499877929688,790.0,5.0,No,217617,795.0,818.0499877929688,23.04998779296875
VENUSPIPES.NS,2296.0,2381.0,2296.0,2381.0,47.62,2300.0,2278.050048828125,2295.0,5.0,Yes,201795,2300.0,2295.0,-5.0
SANDHAR.NS,628.9000244140625,642.2,628.9000244140625,642.2000122070312,12.844000244140625,609.5,634.0,621.6110241699218,7.289000244140652,No,199289,628.9000244140625,634.0,5.0999755859375
THEMISMED.NS,258.8346679742197,259.9,258.8346679742197,259.8999938964844,5.197999877929687,252.0,258.5,255.24632129447753,3.5883466797421875,No,192728,258.8346679742197,258.5,-0.3346679742197125
ICICIGI.NS,1965.0,1980.05,1965.0,1980.050048828125,39.6010009765625,1958.0,1973.3499755859375,1957.0,8.0,No,159432,1965.0,1973.3499755859375,8.3499755859375
ERIS.NS,1090.0,1098.65,1090.0,1098.6500244140625,21.97300048828125,1073.949951171875,1070.949951171875,1078.1,11.900000000000091,Yes,119412,1090.0,1078.1,-11.900000000000091
SMSPHARMA.NS,282.79998779296875,285.0,282.79998779296875,285.0,5.7,278.1000061035156,280.9800109863281,278.97198791503905,3.827999877929699,No,116514,282.79998779296875,280.9800109863281,-1.819976806640625
TECHNOE.NS,1684.449951171875,1722.0,1684.449951171875,1722.0,34.44,1700.0999755859375,1691.0,1683.449951171875,16.6500244140625,No,107007,1700.0999755859375,1691.0,-9.0999755859375
SEAMECLTD.NS,1610.0,1620.0,1610.0,1620.0,32.4,1577.699951171875,1585.0,1592.9,17.09999999999991,Yes,80935,1610.0,1592.9,-17.09999999999991
ALLETEC.NS,362.0,0.0,362.0,370.0,7.4,351.0,348.75,357.38,4.6200000000000045,Yes,79200,362.0,357.38,-4.6200000000000045
NPST.NS,2397.5,0.0,2397.5,2484.85009765625,49.697001953125,2410.0,2478.14990234375,2396.5,13.5,No,70400,2410.0,2478.14990234375,68.14990234375
INNOVACAP.NS,635.0,636.0,635.0,636.0,12.72,634.4500122070312,614.5,633.4500122070312,1.54998779296875,Yes,65698,635.0,633.4500122070312,-1.54998779296875
OMINFRAL.NS,197.00999450683594,205.24,197.00999450683594,205.24000549316406,4.104800109863281,205.24000549316406,205.24000549316406,196.00999450683594,9.230010986328125,No,56811,205.24000549316406,205.24000549316406,0.0
ENSER.NS,216.75,0.0,216.75,223.89999389648438,4.477999877929688,223.89999389648438,209.89999389648438,215.75,8.149993896484375,Yes,42000,223.89999389648438,215.75,-8.149993896484375
SUNCLAY.NS,1950.0,2057.3,1950.0,2057.300048828125,41.1460009765625,1905.0,1970.3499755859375,1929.5,20.5,No,34825,1950.0,1970.3499755859375,20.3499755859375
PRUDENT.NS,2286.85009765625,2360.95,2286.85009765625,2360.949951171875,47.2189990234375,2260.60009765625,2342.949951171875,2262.9815966796873,23.8685009765627,No,33367,2286.85009765625,2342.949951171875,56.099853515625
ELECTHERM.NS,845.0499877929688,887.3,845.0499877929688,887.2999877929688,17.745999755859376,887.2999877929688,883.0,844.0499877929688,43.25,No,30853,887.2999877929688,883.0,-4.29998779296875
RELIABLE.NS,86.6500015258789,88.65,86.6500015258789,88.6500015258789,1.7730000305175782,83.5,88.6500015258789,84.78350151062011,1.8665000152587936,No,30465,86.6500015258789,88.6500015258789,2.0
MPSLTD.NS,2162.0,2170.35,2162.0,2170.35009765625,43.407001953125004,2110.39990234375,2099.949951171875,2139.38,22.61999999999989,Yes,22917,2162.0,2139.38,-22.61999999999989
JASH.NS,2494.0,2552.0,2494.0,2508.0,50.160000000000004,2453.0,2469.300048828125,2468.06,25.940000000000055,No,20657,2494.0,2469.300048828125,-24.699951171875
GANECOS.NS,1594.449951171875,1598.95,1594.449951171875,1598.949951171875,31.9789990234375,1590.0,1592.1500244140625,1589.0,5.449951171875,No,16099,1594.449951171875,1592.1500244140625,-2.2999267578125
PIGL.NS,95.41000366210938,100.18,95.41000366210938,100.18000030517578,2.0036000061035155,100.18000030517578,100.18000030517578,94.41000366210938,5.769996643066406,No,15292,100.18000030517578,100.18000030517578,0.0
SKYGOLD.NS,2364.39990234375,2442.5,2364.39990234375,2442.5,48.85,2399.0,2395.0,2363.39990234375,35.60009765625,No,12212,2399.0,2395.0,-4.0
KONTOR.NS,157.75,0.0,157.75,165.60000610351562,3.3120001220703124,165.60000610351562,165.60000610351562,156.75,8.850006103515625,No,9600,165.60000610351562,165.60000610351562,0.0
PARIN.NS,249.35000610351562,0.0,249.35000610351562,254.4499969482422,5.088999938964844,249.5,252.8000030517578,248.35000610351562,1.149993896484375,No,8000,249.5,252.8000030517578,3.3000030517578125
WOMANCART.NS,289.79998779296875,0.0,289.79998779296875,304.20001220703125,6.084000244140626,304.20001220703125,289.75,288.79998779296875,15.4000244140625,No,8000,304.20001220703125,289.75,-14.45001220703125
S&SPOWER.NS,340.04998779296875,349.75,340.04998779296875,349.75,6.995,349.75,349.75,339.04998779296875,10.70001220703125,No,5116,349.75,349.75,0.0
GRCL.NS,389.0,0.0,389.0,390.0,7.8,390.0,390.0,388.0,2.0,No,500,390.0,390.0,0.0
